lambda_um,energy_eV,eps1,eps2,n,k,alpha_m_inv,alpha_cm_inv,material,model
1.2,1.0332016533333332,-1.1560384669474182,0.2832159094994477,0.1307417320483352,1.083112121364366,11342323.611641161,113423.23611641162,Ge,AdachiGeSkeleton
1.2015,1.0319117636287973,-1.1702767291657115,0.28631443545895285,0.1313681739830224,1.0897404857585797,11397488.82023646,113974.8882023646,Ge,AdachiGeSkeleton
1.2029999999999998,1.0306250906068164,-1.1846330145168882,0.28945664332151366,0.13200511157619663,1.0963842227974334,11452677.040239975,114526.77040239975,Ge,AdachiGeSkeleton
1.2045,1.0293416222498961,-1.1991087650812622,0.2926433039955358,0.1326526293781996,1.1030437367403942,11507892.403260628,115078.92403260627,Ge,AdachiGeSkeleton
1.206,1.0280613466003317,-1.2137054456819751,0.2958752051094178,0.13331081551006158,1.10971943265581,11563139.028780516,115631.39028780516,Ge,AdachiGeSkeleton
1.2075,1.0267842517598342,-1.2284245443251203,0.2991531514407675,0.1339797616794393,1.1164117165565755,11618421.025642097,116184.21025642096,Ge,AdachiGeSkeleton
1.2089999999999999,1.0255103258891647,-1.2432675726495919,0.30247796535836313,0.13465956319976535,1.12312099553465,11673742.493512364,116737.42493512364,Ge,AdachiGeSkeleton
1.2105,1.0242395572077654,-1.258236066387071,0.30585048727732655,0.13535031901258254,1.1298476778946263,11729107.524326295,117291.07524326295,Ge,AdachiGeSkeleton
1.212,1.0229719339933994,-1.273331585832231,0.30927157612791734,0.13605213171302918,1.1365921732863948,11784520.203710215,117845.20203710215,Ge,AdachiGeSkeleton
1.2135,1.0217074445817882,-1.2885557163235606,0.3127421098384449,0.1367651075784596,1.1433548928370876,11839984.612387111,118399.84612387112,Ge,AdachiGeSkeleton
1.2149999999999999,1.0204460773662551,-1.303910068734963,0.3162629858327556,0.13748935660018163,1.15013624928236,11895504.827564713,118955.04827564713,Ge,AdachiGeSkeleton
1.2165,1.0191878207973695,-1.319396279978475,0.3198351215428101,0.13822499251830225,1.1569366570971635,11951084.92430804,119510.84924308039,Ge,AdachiGeSkeleton
1.218,1.0179326633825942,-1.3350160135183204,0.32345945493685835,0.13897213285967688,1.163756532626085,12006728.976897338,120067.28976897338,Ge,AdachiGeSkeleton
1.2195,1.0166805936859367,-1.3507709598966255,0.32713694506375945,0.1397308989789644,1.1705962942133787,12062441.060172815,120624.41060172814,Ge,AdachiGeSkeleton
1.2209999999999999,1.0154316003276003,-1.3666628372710676,0.33086857261400016,0.14050141610279324,1.1774563623327863,12118225.2508673,121182.252508673,Ge,AdachiGeSkeleton
1.2225,1.01418567198364,-1.3826933919647706,0.3346553404979997,0.14128381337705162,1.1843371597172538,12174085.62892802,121740.8562892802,Ge,AdachiGeSkeleton
1.224,1.0129427973856209,-1.39886439902871,0.33849827444229247,0.14207822391731667,1.1912391114886252,12230026.278828423,122300.26278828424,Ge,AdachiGeSkeleton
1.2255,1.0117029653202774,-1.4151776628170063,0.3423984236042318,0.14288478486244677,1.1981626452874394,12286051.290871426,122860.51290871427,Ge,AdachiGeSkeleton
1.2269999999999999,1.0104661646291768,-1.4316350175753703,0.3463568612058522,0.14370363743136116,1.2051081914029025,12342164.762484893,123421.64762484893,Ge,AdachiGeSkeleton
1.2285,1.0092323842083841,-1.4482383280430708,0.3503746851875802,0.14453492698304152,1.2120761829031474,12398370.79951058,123983.7079951058,Ge,AdachiGeSkeleton
1.23,1.00800161300813,-1.464989490068724,0.3544530188824841,0.14537880307978843,1.2190670557658574,12454673.51748734,124546.73517487339,Ge,AdachiGeSkeleton
1.2315,1.0067738400324806,-1.4818904312402918,0.35859301171180913,0.14623541955377808,1.2260812490093638,12511077.04292981,125110.77042929809,Ge,AdachiGeSkeleton
1.2329999999999999,1.0055490543390107,-1.4989431115296157,0.36279583990254893,0.1471049345769626,1.2331192048242976,12567585.51460341,125675.8551460341,Ge,AdachiGeSkeleton
1.2345,1.004327245038477,-1.516149523951863,0.3670627072278511,0.14798751073436744,1.2401813687058911,12624203.08479664,126242.0308479664,Ge,AdachiGeSkeleton
1.236,1.0031084012944984,-1.5335116952402323,0.3713948457710716,0.14888331510083946,1.2472681895870061,12680933.92059152,126809.3392059152,Ge,AdachiGeSkeleton
1.2375,1.0018925123232323,-1.5510316865363658,0.37579351671435124,0.14979251932131107,1.2543801199720088,12737782.205133403,127377.82205133402,Ge,AdachiGeSkeleton
1.2389999999999999,1.0006795673930589,-1.56871159409677,0.3802600111525843,0.150715299694642,1.2615176160715378,12794752.138900572,127947.52138900572,Ge,AdachiGeSkeleton
1.2405,0.9994695558242643,-1.5865535500157197,0.3847956509337239,0.15165183726111375,1.2686811379382887,12851847.940974986,128518.47940974987,Ge,AdachiGeSkeleton
1.242,0.9982624669887278,-1.6045597229650275,0.3894017895263813,0.15260231789365133,1.2758711496038864,12909073.85031476,129090.7385031476,Ge,AdachiGeSkeleton
1.2435,0.9970582903096098,-1.6227323189510832,0.3940798129157229,0.15356693239285493,1.2830881192169286,12966434.127029344,129664.34127029344,Ge,AdachiGeSkeleton
1.2449999999999999,0.9958570152610442,-1.6410735820896258,0.3988311405287143,0.15454587658592797,1.2903325191822992,13023933.053658227,130239.33053658226,Ge,AdachiGeSkeleton
1.2465,0.9946586313678298,-1.6595857953986834,0.4036572261898028,0.155539351429596,1.2976048263018378,13081574.936454115,130815.74936454116,Ge,AdachiGeSkeleton
1.248,0.9934631282051282,-1.6782712816100858,0.40855955910815905,0.15654756311711135,1.3049055219164305,13139364.106671195,131393.64106671195,Ge,AdachiGeSkeleton
1.2495,0.9922704953981591,-1.6971324040000946,0.41353966489767957,0.15757072318945203,1.3122350920496455,13197304.9218596,131973.049218596,Ge,AdachiGeSkeleton
1.251,0.9910807226219025,-1.7161715672395401,0.41859910663096045,0.15860904865082023,1.319594027552966,13255401.767166639,132554.0176716664,Ge,AdachiGeSkeleton
1.2525,0.9898937996007984,-1.735391218264016,0.4237394859285415,0.1596627620885607,1.3269828242527348,13313659.056645839,133136.59056645838,Ge,AdachiGeSkeleton
1.254,0.9887097161084528,-1.7547938471645645,0.4289624440847404,0.16073209179761708,1.334401983098872,13372081.234574378,133720.81234574376,Ge,AdachiGeSkeleton
1.2555,0.9875284619673436,-1.774381988099403,0.43426966323148186,0.1618172719096581,1.3418520103154772,13430672.776779922,134306.72776779922,Ge,AdachiGeSkeleton
1.257,0.9863500270485283,-1.7941582202271902,0.43966286754156797,0.1629185425270071,1.349333417553391,13489438.191977544,134894.38191977545,Ge,AdachiGeSkeleton
1.2585,0.9851744012713547,-1.8141251686623687,0.44514382447290607,0.16403614986151824,1.3568467220448148,13548382.023117624,135483.82023117624,Ge,AdachiGeSkeleton
1.26,0.9840015746031745,-1.834285505453074,0.45071434605525845,0.1651703463785456,1.3643924467600526,13607508.848745348,136075.08848745347,Ge,AdachiGeSkeleton
1.2614999999999998,0.9828315370590567,-1.854641950582246,0.4563762902211842,0.16632139094616663,1.3719711205665057,13666823.284372864,136668.23284372865,Ge,AdachiGeSkeleton
1.263,0.9816642787015043,-1.8751972729924207,0.4621315621828661,0.16748954898981905,1.379583278389976,13726329.983864678,137263.29983864678,Ge,AdachiGeSkeleton
1.2645,0.9804997896401739,-1.895954291634811,0.46798211585662414,0.1686750926525261,1.3872294613783798,13786033.640837148,137860.33640837148,Ge,AdachiGeSkeleton
1.266,0.9793380600315955,-1.9169158765432601,0.47392995533698346,0.16987830096088877,1.3949102170679726,13845938.990072943,138459.38990072944,Ge,AdachiGeSkeleton
1.2674999999999998,0.9781790800788955,-1.9380849499336346,0.47997713642224393,0.17109945999703471,1.402626099552162,13906050.808951098,139060.508089511,Ge,AdachiGeSkeleton
